0.8395	
Ibalia_anceps_USNMENT00653903	FIGI	0.0258
Oberthuerella_lenticularis_USNMENT01322285	FIGI	0.0258
Paramblynotus_virginianus_USNMENT01339638	FIGI	0.0258
Pseudibalia_sp_USNMENT01339677	FIGI	0.0258
Aphaenogaster_megommata_EX379	FORM	0.0005
Formica_moki_T765	FORM	0.0005
Pogonomyrmex_occidentalis_EX377	FORM	0.0005
Rhytidoponera_chalybaea_T000	FORM	0.0005
Sericomyrmex_harekuli_HPG9	FORM	0.0005
Stenamma_megamanni_EX368	FORM	0.0005
Stigmatomma_oregonense_EX435	FORM	0.0005
Gasteruption_assectator_USNMENT01322227	GAST	0.00403
Gasteruption_tarsatorium_USNMENT01339671	GAST	0.00403
Agapostemon_tyleri_BND222	HALI	0.00162
Augochloropsis_metallica_EX397	HALI	0.00162
Dieunomia_nevadensis_BND1112	HALI	0.00162
Halictus_ligatus_sayi_EX395	HALI	0.00162
Rophites_algirus_BND972	HALI	0.00162
Sphecodes_persimilis_BND559	HALI	0.00162
Thrinchostoma_perineti_BND1247	HALI	0.00162
Helorus_ruficornis_USNMENT0653897	HELO	0.1
